representative_token,aggregate_collateral_volume
Other/Dust Assets,9.41034E+11
Other/Dust Assets,36411529985
USDC,27550767614
Other/Dust Assets,9369519712
weETH,7799586938
Other/Dust Assets,6636101659
Other/Dust Assets,2993097212
Other/Dust Assets,2293382087
Other/Dust Assets,1763097815
Other/Dust Assets,1694932900
Other/Dust Assets,1643877557
Other/Dust Assets,1220130461
Other/Dust Assets,1135786708
Other/Dust Assets,841515253.6
Other/Dust Assets,564865681
Other/Dust Assets,376770741.3
Other/Dust Assets,239625552.9
Other/Dust Assets,229956518.1
WETH,144608037.6
Other/Dust Assets,117608669.7
Other/Dust Assets,77472084.12
Other/Dust Assets,53003868.33
Other/Dust Assets,45190094.15
Other/Dust Assets,38850508.79
Other/Dust Assets,35296898.45
Other/Dust Assets,31182801.68
Other/Dust Assets,24257340.88
Other/Dust Assets,23306572.66
Other/Dust Assets,16883086.2
Other/Dust Assets,11306510.48
wstETH,8818617.88
Other/Dust Assets,6304278.88
Other/Dust Assets,4453123.38
Other/Dust Assets,2278622.09
Other/Dust Assets,903039.15
Other/Dust Assets,574835.55
Other/Dust Assets,255158.27
Other/Dust Assets,242439.76
Other/Dust Assets,216932.79
WBTC,214323.18
Other/Dust Assets,212911.95
Other/Dust Assets,110749.38
Other/Dust Assets,106906.53
Other/Dust Assets,58528.79
Other/Dust Assets,53008.01
Other/Dust Assets,8124.44
Other/Dust Assets,7875.88
Other/Dust Assets,4394.47
Other/Dust Assets,1984.55
Other/Dust Assets,0
Other/Dust Assets,0
Other/Dust Assets,0
Other/Dust Assets,0
Other/Dust Assets,0
Other/Dust Assets,0
Other/Dust Assets,0
Other/Dust Assets,0
Other/Dust Assets,0
